evaluator,performance,n_samples
gpt-4o-mini,0.5847058823529412,3600.0
gpt-4.1-mini,0.5404411764705882,3600.0
gpt-4o,0.5403474810552746,3600.0
gpt-4.1,0.6480882352941175,3600.0
haiku-3.5,0.5188235294117647,3600.0
sonnet-3.7,0.4928529494692976,3600.0
sonnet-4.5,0.6043470588235295,3600.0
opus-4.1,0.6882176470588236,3600.0
gemini-2.0-flash-lite,0.5011764705882353,3600.0
gemini-2.0-flash,0.6082352941176471,3600.0
ll-3.1-8b,0.4633823529411764,3600.0
ll-3.1-70b,0.4813235294117647,3600.0
ll-3.1-405b,0.5427941176470588,3600.0
qwen-2.5-7b,0.5016176470588235,3600.0
qwen-2.5-72b,0.5439705882352941,3600.0
qwen-3.0-80b,0.5386764705882353,3600.0
deepseek-3.1,0.5367647058823529,3600.0
kimi-k2,0.5327941176470588,3600.0
