evaluator,performance,n_samples
gpt-4o-mini,0.4669867947178871,1666
gpt-4.1-mini,0.8091236494597839,1666
gpt-4o,0.4837935174069628,1666
gpt-4.1,0.6122448979591837,1666
haiku-3.5,0.5378151260504201,1666
sonnet-3.7,0.5450683226061488,1666
sonnet-4.5,0.8589334038700227,1666
opus-4.1,0.9387653366431319,1666
gemini-2.0-flash-lite,0.33313325330132054,1666
gemini-2.0-flash,0.35414165666266506,1666
ll-3.1-8b,0.4081632653061224,1666
ll-3.1-70b,0.4813925570228091,1666
ll-3.1-405b,0.4789915966386554,1666
qwen-2.5-7b,0.49099639855942373,1666
qwen-2.5-72b,0.5330132052821128,1666
qwen-3.0-80b,0.9825930372148859,1666
deepseek-3.1,0.5834333733493398,1666
kimi-k2,0.6626650660264106,1666
