evaluator,performance,n_samples
gpt-4o-mini,0.3733493397358943,1666
gpt-4.1-mini,0.8439375750300121,1666
gpt-4o,0.44237695078031214,1666
gpt-4.1,0.8157262905162064,1666
haiku-3.5,0.47058823529411764,1666
sonnet-3.7,0.505532867561633,1666
sonnet-4.5,0.8769507803121247,1666
opus-4.1,0.8541416566626651,1666
gemini-2.0-flash-lite,0.3067226890756302,1666
gemini-2.0-flash,0.3319327731092437,1666
ll-3.1-8b,0.30132052821128447,1666
ll-3.1-70b,0.2911164465786314,1666
ll-3.1-405b,0.41956782713085233,1666
qwen-2.5-7b,0.4543817527010804,1666
qwen-2.5-72b,0.4693877551020408,1666
qwen-3.0-80b,0.9675870348139254,1666
deepseek-3.1,0.5606242496998799,1666
kimi-k2,0.7869147659063626,1666
