evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,81/17,66/32,94/4,84/14,85/13,89/9,0/0,85/13,92/6,87/11,88/10,87/11,87/11,72/26,89/9,87/11,83/15,92/6,91/7,90/8,94/4,76/22,96/2,93/5
gpt-4.1-mini,80/18,78/20,76/22,76/22,74/24,70/28,56/42,0/0,57/41,78/20,56/42,58/40,72/26,79/19,52/46,52/46,53/45,56/42,62/36,53/45,58/40,74/24,53/45,78/20
gpt-4o,82/16,63/35,90/8,80/18,88/10,90/8,97/1,90/8,0/0,84/14,86/12,90/8,81/17,77/21,93/5,90/8,73/25,89/9,92/6,90/8,93/5,82/16,94/4,94/4
gpt-4.1,97/1,98/0,98/0,85/13,93/5,97/1,89/9,98/0,89/9,0/0,94/4,96/2,97/1,97/1,87/11,85/13,56/42,71/27,75/23,71/27,87/11,98/0,95/3,90/8
haiku-3.5,26/72,25/73,28/70,39/59,27/71,26/72,32/66,35/63,31/67,27/71,0/0,30/68,29/69,37/61,35/63,28/70,41/57,32/66,30/68,31/67,29/69,31/67,36/62,27/71
sonnet-3.7,43/53,63/35,54/40,58/37,61/36,59/37,49/48,56/40,58/37,58/39,66/29,0/0,55/42,57/38,47/51,48/49,42/51,41/54,37/57,59/36,58/40,54/39,51/45,46/49
sonnet-4.5,3/95,4/94,9/89,12/86,28/70,11/87,47/51,25/73,44/54,25/73,45/53,41/57,0/0,15/83,45/53,40/58,46/51,44/54,40/58,47/51,45/53,12/86,42/56,36/62
opus-4.1,45/53,18/80,51/47,49/49,48/50,38/60,49/49,47/51,49/49,50/48,48/50,45/52,38/60,0/0,49/49,49/49,48/49,49/49,48/50,49/49,49/49,38/60,48/50,50/48
gemini-2.0-flash-lite,52/46,50/48,47/51,51/47,49/49,51/47,52/46,49/49,46/52,51/47,45/53,50/48,48/50,49/49,0/0,49/49,50/48,48/50,50/48,43/55,45/53,49/49,47/51,41/57
gemini-2.0-flash,54/44,52/46,48/50,51/47,63/35,50/48,54/44,47/51,49/49,47/51,64/34,58/40,50/48,48/50,39/59,0/0,47/51,47/51,47/51,56/42,52/46,48/50,58/40,54/44
ll-3.1-8b,85/13,86/12,90/8,82/16,89/9,86/12,90/8,85/13,90/8,89/9,89/9,91/7,84/14,87/11,90/8,92/6,0/0,90/8,90/8,90/8,89/9,83/15,90/8,90/8
ll-3.1-70b,91/7,78/20,90/8,80/18,87/11,85/13,91/7,72/26,88/10,77/21,70/28,80/18,67/31,70/28,83/15,83/15,85/13,0/0,89/9,76/22,83/15,72/26,87/11,88/10
ll-3.1-405b,77/21,57/41,78/20,69/29,81/17,75/23,86/12,69/29,91/7,68/30,73/25,80/18,58/40,57/41,75/23,76/22,73/25,76/22,0/0,70/28,86/12,60/38,77/21,70/28
qwen-2.5-7b,95/3,95/3,96/2,95/3,95/3,94/4,97/1,95/3,97/1,94/4,97/1,97/1,97/1,96/2,93/5,96/2,92/6,95/3,96/2,0/0,97/1,93/5,95/3,96/2
qwen-2.5-72b,92/6,90/8,92/6,89/9,87/11,92/6,83/15,72/26,87/11,76/22,82/16,83/15,82/16,81/17,66/32,72/26,70/28,76/22,83/15,80/18,0/0,83/15,80/18,77/21
qwen-3.0-80b,43/55,35/63,48/50,44/54,42/56,48/50,49/49,49/49,49/49,47/51,49/49,49/49,45/53,44/54,49/49,49/49,49/49,49/49,49/49,49/49,49/49,0/0,49/49,51/47
deepseek-3.1,50/48,53/45,62/36,57/41,67/31,59/39,64/34,76/22,66/32,71/27,70/28,78/20,65/33,61/37,58/40,64/34,55/43,66/32,62/36,59/39,62/36,54/44,0/0,70/28
kimi-k2,80/18,89/9,81/17,75/23,71/27,80/18,77/21,92/6,82/16,93/5,74/24,84/14,88/10,90/8,68/30,74/24,62/36,67/31,75/23,63/35,73/25,87/11,78/20,0/0
