evaluator,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-4o-mini,,0.20000000000000007,0.020000000000000018,0.30000000000000004,0.16999999999999998,0.15000000000000002,0.36,0.45999999999999996,0.26,0.2899999999999999,0.040000000000000036,0.07,0.07,0.040000000000000036,0.030000000000000027,0.44999999999999996,0.15000000000000002,0.13
gpt-4.1-mini,0.20000000000000007,,0.050000000000000044,0.010000000000000009,0.07,0.24999999999999994,0.02999999999999997,0.19,0.030000000000000027,0.030000000000000027,0.32999999999999996,0.08999999999999997,0.29000000000000004,0.22999999999999998,0.26,0.009999999999999953,0.18999999999999995,0.030000000000000027
gpt-4o,0.020000000000000018,0.050000000000000044,,0.14,0.11999999999999994,0.21000000000000002,0.23000000000000004,0.3187878787878788,0.19,0.19999999999999996,0.22999999999999998,0.0,0.009999999999999953,0.15000000000000002,0.09999999999999998,0.29,0.12,0.07999999999999996
gpt-4.1,0.30000000000000004,0.010000000000000009,0.14,,0.18999999999999995,0.32999999999999996,0.25,0.5499999999999999,0.08999999999999997,0.1499999999999999,0.45999999999999996,0.37,0.41000000000000003,0.4,0.42999999999999994,0.16999999999999993,0.16000000000000003,0.04999999999999993
haiku-3.5,0.16999999999999993,0.06999999999999995,0.11999999999999988,0.18999999999999995,,0.06999999999999995,0.10999999999999999,0.14612244897959187,0.020000000000000018,0.15000000000000002,0.25,0.15000000000000002,0.12,0.11999999999999988,0.15999999999999992,0.33999999999999997,0.10000000000000003,0.15000000000000002
sonnet-3.7,0.15000000000000002,0.2499999999999999,0.20999999999999996,0.32999999999999996,0.06999999999999995,,0.16000000000000003,0.10999999999999993,0.030000000000000027,0.20000000000000007,0.29000000000000004,0.16999999999999993,0.029999999999999916,0.15999999999999992,0.20999999999999996,0.4099999999999999,0.16000000000000003,0.14
sonnet-4.5,0.36,0.029999999999999916,0.22999999999999998,0.25,0.10999999999999999,0.16000000000000003,,0.09585858585858587,0.09999999999999998,0.020000000000000018,0.37,0.26,0.1200000000000001,0.37,0.25,0.2300000000000001,0.09999999999999998,0.19999999999999996
opus-4.1,0.45999999999999996,0.19000000000000006,0.31878787878787873,0.5499999999999999,0.14612244897959192,0.10999999999999988,0.09585858585858592,,0.010000000000000009,0.19000000000000006,0.44999999999999996,0.48,0.21999999999999997,0.32999999999999996,0.28,0.47,0.30999999999999994,0.35
gemini-2.0-flash-lite,0.26,0.030000000000000027,0.18999999999999995,0.09000000000000002,0.020000000000000018,0.030000000000000027,0.09999999999999998,0.009999999999999981,,0.010000000000000064,0.28,0.05999999999999994,0.16999999999999993,0.15999999999999992,0.3899999999999999,0.27,0.20999999999999996,0.10999999999999999
gemini-2.0-flash,0.2899999999999999,0.030000000000000027,0.19999999999999996,0.14999999999999997,0.15000000000000002,0.20000000000000007,0.020000000000000018,0.19,0.010000000000000009,,0.4,0.25,0.32999999999999996,0.2799999999999999,0.47,0.38,0.22000000000000008,0.06999999999999995
ll-3.1-8b,0.040000000000000036,0.32999999999999996,0.22999999999999998,0.45999999999999996,0.25,0.29000000000000004,0.37,0.45,0.28,0.4,,0.050000000000000044,0.22999999999999998,0.020000000000000018,0.19999999999999996,0.45999999999999996,0.18000000000000005,0.31000000000000005
ll-3.1-70b,0.07000000000000006,0.09000000000000002,0.0,0.37,0.15000000000000002,0.16999999999999998,0.26000000000000006,0.48,0.05999999999999994,0.25,0.050000000000000044,,0.039999999999999925,0.050000000000000044,0.09999999999999998,0.41999999999999993,0.030000000000000027,0.10999999999999999
ll-3.1-405b,0.07000000000000006,0.29000000000000004,0.010000000000000009,0.41000000000000003,0.12,0.02999999999999997,0.12000000000000005,0.21999999999999997,0.16999999999999993,0.32999999999999996,0.22999999999999998,0.039999999999999925,,0.12,0.08999999999999997,0.57,0.19000000000000006,0.31999999999999995
qwen-2.5-7b,0.040000000000000036,0.22999999999999998,0.15000000000000002,0.4,0.11999999999999994,0.15999999999999998,0.37000000000000005,0.32999999999999996,0.15999999999999998,0.27999999999999997,0.020000000000000018,0.04999999999999999,0.12000000000000005,,0.05999999999999994,0.36000000000000004,0.17000000000000004,0.16000000000000003
qwen-2.5-72b,0.030000000000000027,0.26,0.09999999999999998,0.42999999999999994,0.15999999999999998,0.21000000000000002,0.25,0.28,0.3899999999999999,0.47,0.19999999999999996,0.09999999999999998,0.08999999999999997,0.05999999999999994,,0.4700000000000001,0.22999999999999998,0.12
qwen-3.0-80b,0.44999999999999996,0.009999999999999898,0.2899999999999999,0.16999999999999993,0.33999999999999997,0.4099999999999999,0.2300000000000001,0.47,0.27,0.38,0.45999999999999996,0.41999999999999993,0.57,0.36,0.4700000000000001,,0.22999999999999998,0.25
deepseek-3.1,0.15000000000000002,0.18999999999999995,0.12,0.16000000000000003,0.10000000000000003,0.16000000000000003,0.10000000000000003,0.31,0.20999999999999996,0.22000000000000008,0.18000000000000005,0.030000000000000027,0.19000000000000006,0.17000000000000004,0.22999999999999998,0.22999999999999998,,0.029999999999999916
kimi-k2,0.13,0.030000000000000027,0.07999999999999996,0.04999999999999999,0.15000000000000002,0.14,0.19999999999999996,0.35000000000000003,0.11000000000000004,0.06999999999999995,0.31000000000000005,0.10999999999999999,0.31999999999999995,0.16000000000000003,0.12,0.25000000000000006,0.02999999999999997,
