evaluator,gpt-oss-120b-thinking,opus-4.1-thinking,gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,deepseek-r1-thinking,kimi-k2-thinking,gpt-4o-mini,gpt-4.1-mini,gpt-4o,gpt-4.1,haiku-3.5,sonnet-3.7,sonnet-4.5,opus-4.1,gemini-2.0-flash-lite,gemini-2.0-flash,ll-3.1-8b,ll-3.1-70b,ll-3.1-405b,qwen-2.5-7b,qwen-2.5-72b,qwen-3.0-80b,deepseek-3.1,kimi-k2
gpt-oss-120b-thinking,0/0,74/26,81/19,61/39,55/45,82/18,56/41,70/30,64/35,68/31,72/28,73/27,70/30,71/26,71/29,77/23,56/43,71/29,67/32,56/43,59/40,68/31,71/29,65/35
opus-4.1-thinking,50/50,0/0,50/49,44/56,35/65,53/47,51/49,45/55,45/55,50/49,41/59,50/49,46/54,32/67,52/48,55/45,52/48,53/47,53/46,48/52,52/48,51/49,55/45,44/56
gemini-2.5-pro-thinking,95/5,66/34,0/0,54/46,62/38,76/24,51/49,53/47,52/48,55/45,59/41,56/44,69/31,78/22,56/44,58/42,51/49,55/45,53/47,52/48,52/48,54/46,60/40,55/45
qwen-3.0-80b-thinking,60/40,60/40,52/48,0/0,55/44,50/49,59/41,52/48,57/43,50/50,64/36,56/44,60/40,67/33,50/50,56/44,56/44,57/43,66/34,62/38,58/42,48/52,46/54,50/50
deepseek-r1-thinking,71/29,64/36,65/35,63/37,0/0,65/35,71/29,66/34,61/39,64/36,60/40,65/35,69/31,70/30,64/36,60/40,53/46,62/37,61/39,59/41,64/36,69/31,65/35,64/36
kimi-k2-thinking,65/28,57/36,58/27,51/48,49/45,0/0,53/40,54/40,52/43,52/42,59/33,56/40,64/30,67/28,58/33,53/32,54/41,57/35,53/37,51/44,50/45,55/43,56/37,51/43
gpt-4o-mini,95/5,99/1,86/14,94/6,94/6,89/11,0/0,96/4,99/1,94/6,96/4,98/2,99/1,99/1,97/3,95/5,93/7,92/8,96/4,97/3,98/2,96/4,95/5,97/3
gpt-4.1-mini,55/45,84/16,58/42,72/28,81/19,61/39,84/16,0/0,86/14,80/20,79/21,84/16,72/28,73/27,75/25,77/23,66/34,80/20,86/14,75/25,83/17,73/27,72/28,72/28
gpt-4o,77/23,90/10,77/23,80/20,88/12,73/27,89/11,83/17,0/0,86/14,87/13,88/12,88/12,90/10,84/16,80/20,69/31,85/15,82/18,81/19,85/15,81/19,84/16,83/17
gpt-4.1,89/11,97/3,89/11,84/16,86/14,88/12,72/28,95/5,82/18,0/0,87/13,90/10,90/10,90/10,80/20,79/21,55/45,60/40,69/31,64/36,64/36,93/7,85/15,86/14
