evaluator,deviation
gpt-4o-mini,-0.06033717834960073
gpt-4.1-mini,0.266637089618456
gpt-4o,-0.04170363797693
gpt-4.1,0.09094942324755995
haiku-3.5,-0.0026619343389530092
sonnet-3.7,0.022264674330119694
sonnet-4.5,0.2914742905268225
opus-4.1,0.39928263125441776
gemini-2.0-flash-lite,-0.2369121561668146
gemini-2.0-flash,-0.20718722271517304
ll-3.1-8b,-0.0971606033717835
ll-3.1-70b,-0.044365572315882895
ll-3.1-405b,-0.0709849157054126
qwen-2.5-7b,-0.01197870452528843
qwen-2.5-72b,0.014640638864241273
qwen-3.0-80b,0.4685004436557232
deepseek-3.1,-0.01818988464951199
kimi-k2,0.1273291925465838
