evaluator,deviation
gpt-4o-mini,-0.1266506602641057
gpt-4.1-mini,0.3439375750300121
gpt-4o,-0.05762304921968786
gpt-4.1,0.3157262905162064
haiku-3.5,-0.02941176470588236
sonnet-3.7,0.005532867561632959
sonnet-4.5,0.3769507803121247
opus-4.1,0.35414165666266506
gemini-2.0-flash-lite,-0.19327731092436978
gemini-2.0-flash,-0.16806722689075632
ll-3.1-8b,-0.19867947178871553
ll-3.1-70b,-0.2088835534213686
ll-3.1-405b,-0.08043217286914767
qwen-2.5-7b,-0.04561824729891961
qwen-2.5-72b,-0.030612244897959218
qwen-3.0-80b,0.4675870348139254
deepseek-3.1,0.060624249699879895
kimi-k2,0.28691476590636256
