evaluator,performance,n_samples
gpt-4o-mini,0.5013043478260869,4600
gpt-4.1-mini,0.5065217391304347,4600
gpt-4o,0.5185543734865398,4600
gpt-4.1,0.5617391304347826,4600
haiku-3.5,0.3495652173913043,4600
sonnet-3.7,0.508657125989677,4600
sonnet-4.5,0.5936956521739131,4600
opus-4.1,0.8172636880839291,4600
gemini-2.0-flash-lite,0.5991304347826086,4600
gemini-2.0-flash,0.7405360333531865,4600
ll-3.1-8b,0.43934782608695655,4600
ll-3.1-70b,0.4895652173913043,4600
ll-3.1-405b,0.4545413936867183,4600
qwen-2.5-7b,0.49260869565217386,4600
qwen-2.5-72b,0.511304347826087,4600
qwen-3.0-80b,0.7919565217391302,4600
deepseek-3.1,0.6821739130434782,4600
kimi-k2,0.6668320371626912,4600
