evaluator,generator,dataset,distance,performance,n_samples
gpt-oss-120b-thinking,gpt-oss-120b-thinking,pku_saferlhf,0,0.7164346164346165,100
opus-4.1-thinking,gpt-oss-120b-thinking,pku_saferlhf,-87,0.9885714285714288,100
gemini-2.5-pro-thinking,gpt-oss-120b-thinking,pku_saferlhf,-91,0.95,100
qwen-3.0-80b-thinking,gpt-oss-120b-thinking,pku_saferlhf,-11,0.7938310708898944,100
deepseek-r1-thinking,gpt-oss-120b-thinking,pku_saferlhf,-64,0.88,100
kimi-k2-thinking,gpt-oss-120b-thinking,pku_saferlhf,-75,0.9897435897435898,100
gpt-4o-mini,gpt-oss-120b-thinking,pku_saferlhf,51,0.59,100
gpt-4.1-mini,gpt-oss-120b-thinking,pku_saferlhf,-21,0.2,100
gpt-4o,gpt-oss-120b-thinking,pku_saferlhf,-83,0.6611111111111111,100
gpt-4.1,gpt-oss-120b-thinking,pku_saferlhf,-54,0.87,100
haiku-3.5,gpt-oss-120b-thinking,pku_saferlhf,37,0.6966666666666665,100
sonnet-4.5,gpt-oss-120b-thinking,pku_saferlhf,-88,1.0,100
opus-4.1,gpt-oss-120b-thinking,pku_saferlhf,-86,0.986206896551724,100
gemini-2.0-flash-lite,gpt-oss-120b-thinking,pku_saferlhf,1,0.97,100
gemini-2.0-flash,gpt-oss-120b-thinking,pku_saferlhf,-5,0.71,100
ll-3.1-8b,gpt-oss-120b-thinking,pku_saferlhf,124,0.79,100
ll-3.1-70b,gpt-oss-120b-thinking,pku_saferlhf,72,0.97,100
ll-3.1-405b,gpt-oss-120b-thinking,pku_saferlhf,24,0.98,100
qwen-2.5-72b,gpt-oss-120b-thinking,pku_saferlhf,69,0.98,100
qwen-3.0-80b,gpt-oss-120b-thinking,pku_saferlhf,-42,0.0,100
deepseek-3.1,gpt-oss-120b-thinking,pku_saferlhf,-59,0.16,100
kimi-k2,gpt-oss-120b-thinking,pku_saferlhf,-63,0.77,100
gpt-oss-120b-thinking,opus-4.1-thinking,pku_saferlhf,87,0.7959696538643908,100
opus-4.1-thinking,opus-4.1-thinking,pku_saferlhf,0,0.57,100
gemini-2.5-pro-thinking,opus-4.1-thinking,pku_saferlhf,-4,0.0,100
qwen-3.0-80b-thinking,opus-4.1-thinking,pku_saferlhf,76,0.0405128205128205,100
deepseek-r1-thinking,opus-4.1-thinking,pku_saferlhf,23,0.0,100
kimi-k2-thinking,opus-4.1-thinking,pku_saferlhf,12,0.0521052631578947,100
gpt-4o-mini,opus-4.1-thinking,pku_saferlhf,138,0.35,100
gpt-4.1-mini,opus-4.1-thinking,pku_saferlhf,66,0.0,100
gpt-4o,opus-4.1-thinking,pku_saferlhf,4,0.0102564102564102,100
gpt-4.1,opus-4.1-thinking,pku_saferlhf,33,0.26,100
haiku-3.5,opus-4.1-thinking,pku_saferlhf,124,0.26,100
sonnet-4.5,opus-4.1-thinking,pku_saferlhf,-1,0.73,100
opus-4.1,opus-4.1-thinking,pku_saferlhf,1,0.42,100
gemini-2.0-flash-lite,opus-4.1-thinking,pku_saferlhf,88,0.09,100
gemini-2.0-flash,opus-4.1-thinking,pku_saferlhf,82,0.42,100
ll-3.1-8b,opus-4.1-thinking,pku_saferlhf,211,0.52,100
ll-3.1-70b,opus-4.1-thinking,pku_saferlhf,159,0.44,100
ll-3.1-405b,opus-4.1-thinking,pku_saferlhf,111,0.05,100
qwen-2.5-72b,opus-4.1-thinking,pku_saferlhf,156,0.17,100
qwen-3.0-80b,opus-4.1-thinking,pku_saferlhf,45,0.0,100
deepseek-3.1,opus-4.1-thinking,pku_saferlhf,28,0.0,100
kimi-k2,opus-4.1-thinking,pku_saferlhf,24,0.27,100
gpt-oss-120b-thinking,gemini-2.5-pro-thinking,pku_saferlhf,91,0.8382661782661782,100
opus-4.1-thinking,gemini-2.5-pro-thinking,pku_saferlhf,4,0.96,100
gemini-2.5-pro-thinking,gemini-2.5-pro-thinking,pku_saferlhf,0,1.0,100
qwen-3.0-80b-thinking,gemini-2.5-pro-thinking,pku_saferlhf,80,0.1412820512820513,100
deepseek-r1-thinking,gemini-2.5-pro-thinking,pku_saferlhf,27,0.04,100
kimi-k2-thinking,gemini-2.5-pro-thinking,pku_saferlhf,16,0.1028340080971659,100
gpt-4o-mini,gemini-2.5-pro-thinking,pku_saferlhf,142,0.34,100
gpt-4.1-mini,gemini-2.5-pro-thinking,pku_saferlhf,70,0.04,100
gpt-4o,gemini-2.5-pro-thinking,pku_saferlhf,8,0.1633333333333333,100
gpt-4.1,gemini-2.5-pro-thinking,pku_saferlhf,37,0.68,100
haiku-3.5,gemini-2.5-pro-thinking,pku_saferlhf,128,0.48,100
sonnet-4.5,gemini-2.5-pro-thinking,pku_saferlhf,3,0.97,100
opus-4.1,gemini-2.5-pro-thinking,pku_saferlhf,5,0.96,100
gemini-2.0-flash-lite,gemini-2.5-pro-thinking,pku_saferlhf,92,0.07,100
gemini-2.0-flash,gemini-2.5-pro-thinking,pku_saferlhf,86,0.27,100
ll-3.1-8b,gemini-2.5-pro-thinking,pku_saferlhf,215,0.44,100
ll-3.1-70b,gemini-2.5-pro-thinking,pku_saferlhf,163,0.11,100
ll-3.1-405b,gemini-2.5-pro-thinking,pku_saferlhf,115,0.46,100
qwen-2.5-72b,gemini-2.5-pro-thinking,pku_saferlhf,160,0.17,100
qwen-3.0-80b,gemini-2.5-pro-thinking,pku_saferlhf,49,0.02,100
deepseek-3.1,gemini-2.5-pro-thinking,pku_saferlhf,32,0.15,100
kimi-k2,gemini-2.5-pro-thinking,pku_saferlhf,28,0.33,100
gpt-oss-120b-thinking,qwen-3.0-80b-thinking,pku_saferlhf,11,0.5777327935222673,100
opus-4.1-thinking,qwen-3.0-80b-thinking,pku_saferlhf,-76,1.0,100
gemini-2.5-pro-thinking,qwen-3.0-80b-thinking,pku_saferlhf,-80,0.03,100
qwen-3.0-80b-thinking,qwen-3.0-80b-thinking,pku_saferlhf,0,0.9794871794871796,100
deepseek-r1-thinking,qwen-3.0-80b-thinking,pku_saferlhf,-53,0.0,100
kimi-k2-thinking,qwen-3.0-80b-thinking,pku_saferlhf,-64,0.2242105263157894,100
gpt-4o-mini,qwen-3.0-80b-thinking,pku_saferlhf,62,0.14,100
gpt-4.1-mini,qwen-3.0-80b-thinking,pku_saferlhf,-10,0.0,100
gpt-4o,qwen-3.0-80b-thinking,pku_saferlhf,-72,0.0,100
gpt-4.1,qwen-3.0-80b-thinking,pku_saferlhf,-43,0.58,100
haiku-3.5,qwen-3.0-80b-thinking,pku_saferlhf,48,0.3,100
sonnet-4.5,qwen-3.0-80b-thinking,pku_saferlhf,-77,1.0,100
opus-4.1,qwen-3.0-80b-thinking,pku_saferlhf,-75,1.0,100
gemini-2.0-flash-lite,qwen-3.0-80b-thinking,pku_saferlhf,12,0.01,100
gemini-2.0-flash,qwen-3.0-80b-thinking,pku_saferlhf,6,0.39,100
ll-3.1-8b,qwen-3.0-80b-thinking,pku_saferlhf,135,0.51,100
ll-3.1-70b,qwen-3.0-80b-thinking,pku_saferlhf,83,0.46,100
ll-3.1-405b,qwen-3.0-80b-thinking,pku_saferlhf,35,0.76,100
qwen-2.5-72b,qwen-3.0-80b-thinking,pku_saferlhf,80,0.08,100
qwen-3.0-80b,qwen-3.0-80b-thinking,pku_saferlhf,-31,0.0,100
deepseek-3.1,qwen-3.0-80b-thinking,pku_saferlhf,-48,0.05,100
kimi-k2,qwen-3.0-80b-thinking,pku_saferlhf,-52,0.51,100
gpt-oss-120b-thinking,deepseek-r1-thinking,pku_saferlhf,64,0.6783625730994152,100
opus-4.1-thinking,deepseek-r1-thinking,pku_saferlhf,-23,0.88,100
gemini-2.5-pro-thinking,deepseek-r1-thinking,pku_saferlhf,-27,0.0,100
qwen-3.0-80b-thinking,deepseek-r1-thinking,pku_saferlhf,53,0.0,100
deepseek-r1-thinking,deepseek-r1-thinking,pku_saferlhf,0,0.99,100
kimi-k2-thinking,deepseek-r1-thinking,pku_saferlhf,-11,0.102051282051282,100
gpt-4o-mini,deepseek-r1-thinking,pku_saferlhf,115,0.2,100
gpt-4.1-mini,deepseek-r1-thinking,pku_saferlhf,43,0.0,100
gpt-4o,deepseek-r1-thinking,pku_saferlhf,-19,0.01,100
gpt-4.1,deepseek-r1-thinking,pku_saferlhf,10,0.51,100
haiku-3.5,deepseek-r1-thinking,pku_saferlhf,101,0.24,100
sonnet-4.5,deepseek-r1-thinking,pku_saferlhf,-24,0.91,100
opus-4.1,deepseek-r1-thinking,pku_saferlhf,-22,0.91,100
gemini-2.0-flash-lite,deepseek-r1-thinking,pku_saferlhf,65,0.06,100
