evaluator,deviation
gpt-oss-120b-thinking,0.03479153685553449
opus-4.1-thinking,0.114864658847047
gemini-2.5-pro-thinking,0.05247751124437783
qwen-3.0-80b-thinking,0.056594666954652206
deepseek-r1-thinking,0.00397204465980594
kimi-k2-thinking,0.09250354817749584
gpt-4o-mini,0.07967391304347826
gpt-4.1-mini,0.032173913043478275
gpt-4o,0.038169943270141005
gpt-4.1,0.1377173913043479
haiku-3.5,0.021847826086956568
sonnet-3.7,0.02266756762681954
sonnet-4.5,0.10799565217391305
opus-4.1,0.18591304347826088
gemini-2.0-flash-lite,-0.007608695652173925
gemini-2.0-flash,0.08706521739130435
ll-3.1-8b,-0.03913043478260869
ll-3.1-70b,-0.023369565217391308
ll-3.1-405b,0.08058070279928531
qwen-2.5-7b,-0.001739130434782632
qwen-2.5-72b,0.04434782608695653
qwen-3.0-80b,0.03119565217391307
deepseek-3.1,0.03347826086956518
kimi-k2,0.01904614019520856
