evaluator,deviation
gpt-4o-mini,0.0013043478260869046
gpt-4.1-mini,0.006521739130434745
gpt-4o,0.018554373486539766
gpt-4.1,0.06173913043478263
haiku-3.5,-0.1504347826086957
sonnet-3.7,0.00865712598967705
sonnet-4.5,0.09369565217391307
opus-4.1,0.31726368808392913
gemini-2.0-flash-lite,0.09913043478260863
gemini-2.0-flash,0.24053603335318652
ll-3.1-8b,-0.06065217391304345
ll-3.1-70b,-0.01043478260869568
ll-3.1-405b,-0.04545860631328169
qwen-2.5-7b,-0.007391304347826144
qwen-2.5-72b,0.011304347826087024
qwen-3.0-80b,0.2919565217391302
deepseek-3.1,0.1821739130434782
kimi-k2,0.16683203716269124
