evaluator,performance,n_samples
gpt-4o-mini,0.5152941176470589,3400
gpt-4.1-mini,0.5588235294117647,3400
gpt-4o,0.5403121595670232,3400
gpt-4.1,0.5791176470588235,3400
haiku-3.5,0.3852941176470588,3400
sonnet-3.7,0.46373837332189644,3400
sonnet-4.5,0.6367647058823529,3400
opus-4.1,0.8578143021914649,3400
gemini-2.0-flash-lite,0.6870588235294117,3400
gemini-2.0-flash,0.8298428686543111,3400
ll-3.1-8b,0.4497058823529412,3400
ll-3.1-70b,0.4917647058823529,3400
ll-3.1-405b,0.46205882352941174,3400
qwen-2.5-7b,0.49852941176470594,3400
qwen-2.5-72b,0.5167647058823529,3400
qwen-3.0-80b,0.875,3400
deepseek-3.1,0.7723529411764707,3400
kimi-k2,0.7102363298260481,3400
