evaluator,performance,n_samples
gpt-4o-mini,0.514264705882353,3600.0
gpt-4.1-mini,0.5383823529411764,3600.0
gpt-4o,0.5300964197121234,3600.0
gpt-4.1,0.5547058823529412,3600.0
haiku-3.5,0.5139469782433521,3600.0
sonnet-3.7,0.550464705882353,3600.0
sonnet-4.5,0.5605559939044111,3600.0
opus-4.1,0.5738790491539081,3600.0
gemini-2.0-flash-lite,0.5160294117647058,3600.0
gemini-2.0-flash,0.5523529411764706,3600.0
ll-3.1-8b,0.403235294117647,3600.0
ll-3.1-70b,0.47808823529411765,3600.0
ll-3.1-405b,0.4833823529411765,3600.0
qwen-2.5-7b,0.49882352941176467,3600.0
qwen-2.5-72b,0.5126470588235295,3600.0
qwen-3.0-80b,0.5519117647058823,3600.0
deepseek-3.1,0.5191176470588235,3600.0
kimi-k2,0.5732035755478662,3600.0
